Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.495,..,..,..,1.692,..,7.915,..,..,11.184,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Albania,ALB,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.4,4.615,15,14.4,6.566,13.8,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Algeria,DZA,24.38,26.23,27.74,31.84,..,25.43,..,..,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,5.05,..,..,..,..,9.98,..,..,..,..,9.2,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,23.643,..,..,..,..,3.782,9.43,16.77,..,..,9.579,..,..,..,..,16.497
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,8.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Argentina,ARG,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,..,..,8.347,9.221,9.843
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Armenia,ARM,1.8,5.3,6.6,6.7,9.3,10.8,9.4,11.2,..,..,..,..,..,..,..,10.394,22.974,19.295,19.523,21.63,17.511,16.576,17.499,18.261,17.617,17.705,13.212,12.2
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Aruba,ABW,..,..,6.45,..,..,7.45,..,..,6.92,6.9,..,..,..,..,..,5.71,..,..,10.6,8.9,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Australia,AUS,10.733,10.879,9.724,8.473,8.509,8.367,7.684,6.876,6.288,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Austria,AUT,3.59,4.25,3.535,4.347,5.281,5.15,5.523,4.698,4.687,6.4,4.849,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Azerbaijan,AZE,0.17,0.52,0.65,0.8,0.9,1.03,1.13,16.25,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,"Bahamas, The",BHS,14.81,12.72,13.83,10.83,11.46,9.76,7.65,7.45,..,6.87,9.05,10.84,10.2,10.2,7.54,7.88,8.18,14.25,..,14.52,14.02,16.18,13.8,12,12.7,9.8,10,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.6,3.7,4,1.13,4,1.2,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bangladesh,BGD,..,..,..,..,2.51,..,..,..,3.27,..,..,4.32,..,4.25,3.591,..,..,5,3.379,..,..,4.426,..,..,4.35,4.372,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Barbados,BRB,22.94,24.54,22.98,19.66,14.71,14.61,12.4,10.61,9.35,9.85,10.32,11,..,..,..,..,..,10.02,10.69,..,..,11.55,12.17,9.803,8.247,8.622,8.322,8.413
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Belarus,BLR,0.5,1.4,2.1,2.9,4,2.8,2.3,2.1,2.1,2.3,3,3.1,1.9,1.5,1.2,1,0.8,6.1,..,0.6,0.5,0.5,0.5,1,5.844,5.648,4.763,4.165
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Belgium,BEL,6.702,8.078,9.645,9.337,9.483,8.95,9.323,8.649,6.586,6.178,6.91,7.68,7.363,8.44,8.246,7.459,6.976,7.908,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.086,5.948,5.36
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Belize,BLZ,..,9.78,11.1,12.48,13.82,12.68,14.31,12.84,..,9.07,10.04,..,..,10.91,9.39,8.51,8.18,..,..,..,..,8.349,8.244,7.578,7,6.596,..,9.053
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Benin,BEN,1.51,..,..,..,..,..,..,..,..,..,0.69,..,..,..,..,..,..,..,1.04,2.647,..,..,..,..,..,..,1.473,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,2.71,..,..,..,..,..,..,..,..,4.48,6.49,..,8.44,6.66,8.94,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bhutan,BTN,..,..,..,..,..,..,1.4,1.4,..,1.9,..,1.8,2.49,3.06,3.13,3.7,..,3.96,3.32,3.23,2.05,2.87,2.63,2.45,..,..,3.35,2.72
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bolivia,BOL,2.52,5.99,3.08,3.69,5.23,2.08,..,3.93,4.47,5.24,5.48,..,4.17,5.45,5.08,5.18,2.603,2.973,..,2.255,2.066,2.437,2.021,3.111,3.498,3.655,3.519,3.682
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,16.1,..,..,..,..,31.11,28.984,23.405,24.068,27.312,27.582,28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Botswana,BWA,..,..,21.2,..,21.593,..,20.86,..,15.88,18.54,..,23.8,..,..,17.782,..,..,16.169,17.86,..,..,..,..,..,..,..,..,20.094
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Brazil,BRA,6.37,6.03,..,7.092,8.035,9.003,10.15,11.125,..,10.649,10.641,11.169,10.072,10.551,9.692,9.28,8.268,9.419,..,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.33,11.936
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.862,..,..,9.316,8.7,6.6
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Bulgaria,BGR,15.3,16.4,12.8,11.1,12.5,13.7,12.2,14.1,16.218,32.61,18.11,13.733,12.037,10.083,8.951,6.878,5.61,6.817,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.212,4.23
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,Burkina Faso,BFA,..,..,2.58,..,..,..,2.44,..,..,..,..,2.78,..,4,..,3.3,..,..,..,..,..,..,6.481,..,..,..,4.695,..
